@relation data-server

@attribute SIZE numeric
@attribute HOUR numeric
@attribute MBS numeric 

@data
169,23,862.182
366,23,854.448
568,23,1258.379
6683,23,542.569
749,23,1018.12
1074,23,1029.906
1018,23,932.024
1302,23,748.94
809,23,597.304
85,23,1261.333
1005,23,1333.004
169,23,730.526
169,23,1303.09
169,23,771.065
169,23,565.048
333,23,758.367
1431,23,616.556
169,23,1036.949
520,23,787.601
374,23,1079.841
995,23,1157.05
1139,23,655.1
49359,23,1048.762
982,23,995.032
966,23,1341.868
1610,23,1345.122
7285,23,937.456
4809,23,943.168
954,23,831.386
870,23,623.193
855,23,556.567
2977,23,579.754
945,23,677.638
694,23,898.13
976,23,1114.97
413,23,499.002
1348,23,459.876
7229,23,1202.596
915,23,1287.355
1991,23,855.464
965,23,843.861
1266,23,1051.457
1020,23,749.126
606,23,600.898
1342,23,1015.665
428,23,926.964
4406,23,1162.473
3493,23,1012.525
3305,23,1340.57
1433,23,1305.258
746,23,1235.245
1218,23,529.452
557,23,692.284
1316,23,1333.04
952,23,1345.121
1170,23,780.044
985,23,972.092
4930,23,724.889
4930,23,874.415
4930,23,1009.19
4930,23,864.064
2572,23,464.257
2513,23,799.199
1665,23,884.825
2740,23,857.489
16456,23,482.357
10103,23,455.432
2696,23,973.594
954,23,1131.838
2977,23,1286.953
995,23,516.74
1065,23,1000.516
243,23,900.866
2240,23,1023.969
49359,23,1021.631
855,23,936.534
305,23,891.431
982,23,839.433
90,23,526.845
606,23,1211.988
966,23,734.494
945,23,467.377
352,23,1173.322
870,23,825.041
201,23,603.086
965,23,745.51
82,23,1299.698
915,23,1138.643
298,23,1072.915
1991,23,758.271
929,23,1179.036
428,23,544.977
90,23,1191.419
1139,23,821.238
90,23,686.391
976,23,841.567
286,23,1315.867
1610,23,1130.563
7285,23,944.523
89,23,1028.782
428,23,803.289
413,23,1326.846
1266,23,989.576
1348,23,984.897
106,23,457.964
557,23,476.644
746,23,1053.443
1020,23,689.278
1316,23,1036.585
1170,23,741.041
1218,23,1321.332
241,23,545.215
348,23,1305.346
949,23,603.92
482,23,753.433
1342,23,1129.889
360,23,465.063
952,23,1160.664
872,23,515.11
326,23,914.589
464,23,832.581
852,23,887.303
472,23,942.02
363,23,571.196
428,23,1016.581
1433,23,478.175
4930,23,1023.719
4930,23,1303.517
4930,23,814.109
336,23,1203.49
10841,23,555.96
17046,23,566.752
334,23,609.286
4930,23,1309.839
4930,23,707.025
1545,23,662.882
35549,23,1027.625
66980,23,1131.671
49598,23,545.839
342,23,710.253
4930,23,735.331
334,23,506.952
336,23,551.742
4930,23,760.473
4930,23,698.499
4930,23,1341.576
4930,23,828.2
4930,23,944.021
49598,23,533.581
4930,23,715.876
4930,23,1116.915
4930,23,1115.395
4930,23,591.539
4930,23,1207.189
4930,23,1086.019
0,23,1329.618
0,23,1120.269
694,23,519.603
416,23,495.567
2838,23,705.966
870,23,562.222
994,23,842.688
0,23,700.964
937,23,462.496
4930,23,897.039
0,23,1246.369
243,23,879.895
0,23,661.231
0,23,673.502
352,23,810.211
4733,23,768.923
889,23,728.358
853,23,623.819
49598,23,1340.479
934,23,855.527
0,23,1056.844
0,23,466.036
286,23,473.11
1065,23,469.624
0,23,1203.294
348,23,894.211
90,23,571.033
89,23,1168.632
43,23,816.669
43,23,756.656
1618,23,1290.899
90,23,907.149
4930,23,1118.369
776,23,1194.067
241,23,852.554
0,23,744.838
938,23,529.575
360,23,741.64
1306,23,871.777
852,23,692.068
106,23,474.051
305,23,939.947
929,23,1087.521
7341,23,520.284
1082,23,935.5
90,23,745.664
2082,23,797.332
0,23,913.992
1273,23,755.734
298,23,1204.793
326,23,856.876
1272,23,734.549
472,23,552.811
1378,23,816.622
872,23,1201.381
428,23,890.019
224,23,485.454
494,23,594.684
428,23,1052.741
1500,23,615.637
90,23,916.452
464,23,924.581
3394,23,760.413
1426,23,462.584
283,23,1229.667
82,23,875.797
1308,23,520.375
363,23,1271.276
901,23,747.976
949,23,1001.458
482,23,590.58
417,23,933.911
2513,01,906.13
14902,01,794.404
4406,01,1029.983
1567,01,1118.285
35737,01,1340.101
901,01,804.131
1431,01,1285.831
106,01,709.045
2240,01,586.921
914,01,1182.839
870,01,773.437
5367,01,1071.158
164,01,1241.686
2240,01,1325.048
383,01,945.191
89,01,758.029
16254,01,1219.097
1197,01,1245.962
443,01,912.377
6405,01,472.555
1031,01,811.962
464,01,593.946
892,01,856.903
1500,01,482.708
1500,01,908.482
349,01,1142.386
428,01,694.553
949,01,899.084
231,01,883.762
1306,01,852.807
416,01,1104.223
551,01,1201.317
43,01,1208.286
305,01,461.595
963,01,1117.015
82,01,1237.928
1189,01,570.302
2572,01,1046.796
1644,01,1176.499
4930,01,1018.48
3964,01,666.43
190,01,586.768
1541,01,689.649
66963,01,962.128
351,01,490.207
298,01,485.722
4733,01,961.528
13080,01,1256.153
187,01,605.517
1135,01,479.699
416,01,644.002
1082,01,600.051
443,01,1073.333
16456,01,1118.537
8241,01,662.88
870,01,856.777
305,01,697.996
823,01,1278.642
49771,01,751.883
4406,01,972.355
173,01,959.517
4930,01,982.394
20431,01,635.408
201,01,523.526
374,01,1100.962
43,01,1158.534
363,01,1099.645
3394,01,619.603
1378,01,1351.76
12079,01,1075.019
1306,01,1319.787
82,01,472.468
90,01,1144.414
18278,01,697.527
43,01,1168.272
6866,01,725.121
363,01,482.555
915,01,558.225
305,01,1196.132
437,01,1326.194
243,01,604.934
352,01,1230.404
852,01,925.443
43,01,1112.793
776,01,921.063
646,01,904.002
12079,01,980.994
1291,01,925.584
2838,01,1271.891
1665,01,878.398
1378,01,667.433
1438,01,472.536
889,01,492.225
2740,01,485.243
2572,01,792.08
631,01,692.031
1682,01,997.525
976,01,701.032
5087,01,622.626
7696,01,1087.734
763,01,1157.575
1065,01,541.783
1500,01,823.46
4626,01,1343.168
7341,01,794.552
9184,01,915.356
1426,01,962.322
482,01,462.022
1272,01,943.262
2240,01,820.211
711,01,815.401
343,01,907.144
4260,01,983.981
855,01,1223.197
90,01,694.99
313,01,1040.817
42,01,499.29
337,01,1234.586
159,01,1322.209
1682,01,530.905
1548,01,656.93
1302,01,1109.747
3661,01,1233.685
152,01,825.382
241,01,1134.029
27038,01,787.244
43,01,719.558
445,01,676.333
304,01,1088.593
914,01,809.448
949,01,876.766
1569,01,1075.528
352,01,1190.798
853,01,799.69
298,01,1235.151
1035,01,1021.671
19243,01,467.67
915,01,565.538
241,01,630.591
995,01,1139.989
949,01,651.319
16456,01,793.332
1157,01,586.93
1420,01,593.306
201,01,1296.689
106,01,1250.733
2082,01,1354.896
929,01,712.995
749,01,1027.571
568,01,1172.606
749,01,870.59
141,01,1181.116
89,01,958.269
4930,01,474.167
12079,01,614.62
1135,01,799.759
42,01,1215.262
304,01,1053.821
1889,01,701.111
7305,01,826.681
914,01,874.103
2240,01,1118.458
1504,01,508.825
914,01,1260.202
2526,01,777.158
1426,01,1018.65
8389,01,1284.759
3997,01,1167.28
1703,01,832.635
1406,01,1044.721
7341,01,789.652
8349,01,874.672
335,01,923.947
3831,01,557.756
852,01,747.881
12079,01,1106.905
2572,01,499.469
1567,01,701.25
19207,01,1225.176
2082,01,627.524
668,01,1156.812
187,01,832.137
558,01,651.887
1105,01,842.151
737,01,1354.267
327,01,895.627
10103,01,883.628
870,01,1300.12
1065,01,1286.737
789,01,1072.69
694,01,1087.036
4930,01,1280.662
872,01,1016.454
1569,01,1261.7
27038,01,1208.776
1818,01,1168.771
8241,01,805.765
2977,01,1240.555
4930,01,1084.157
994,01,827.977
776,01,917.666
43,01,956.04
106,01,628.599
929,01,844.299
3394,01,830.982
482,01,467.754
3785,01,803.985
1057,01,657.369
934,01,1177.943
1065,01,1303.226
12079,01,738.46
870,01,565.175
1074,01,612.885
42,01,794.666
694,01,634.397
1005,01,770.133
8389,01,1250.561
1005,01,743.883
2095,01,503.995
201,01,1112.085
694,01,467.472
1541,01,1256.362
4930,01,1261.447
89,01,1297.903
937,01,868.045
870,01,702.307
11372,01,790.675
2082,01,1264.268
993,01,950.425
938,01,933.719
49771,01,1089.577
993,01,476.696
8389,01,988.922
782,01,1215.889
1682,01,685.621
43,01,1021.067
694,01,901.828
8389,01,1303.207
1500,01,1278.167
286,01,927.653
241,01,707.9
1682,01,533.941
2740,01,497.743
297,01,612.553
776,01,1281.784
3867,01,812.771
1500,01,1348.767
90,01,1080.116
937,01,1321.469
8967,01,890.94
1378,01,1047.074
1291,01,913.354
89,01,831.016
1675,01,963.604
1216,01,1251.252
1005,01,687.16
1682,01,1004.822
17033,01,695.222
1306,01,810.612
352,01,1352.348
1991,01,679.67
568,01,533.678
937,01,1326.855
90,01,1196.982
1306,01,786.814
4406,01,1186.045
286,01,1342.988
2696,01,1008.481
14902,01,615.792
11992,01,996.656
360,01,1189.723
348,01,1114.207
853,01,500.299
938,01,1229.641
4822,01,1349.233
19243,01,953.35
1541,01,1350.24
945,01,616.735
1933,01,1118.209
352,01,620.95
24864,01,1147.062
2240,01,1308.75
11008,01,472.531
1617,01,1147.188
669,01,1282.87
982,01,581.248
872,01,1106.583
374,01,469.773
286,01,949.248
914,01,1183.792
297,01,780.728
1420,01,586.201
870,01,862.897
141,01,595.018
914,01,642.812
5387,01,493.333
809,01,691.242
995,01,778.796
1005,01,702.605
243,01,1162.531
937,01,843.731
5153,01,1234.265
852,01,618.778
3394,01,526.452
231,01,817.579
855,01,631.539
4637,01,720.964
49771,01,954.98
12030,01,1265.881
937,01,907.7
2572,01,635.07
938,01,1211.544
428,01,1078.053
828,01,1198.425
694,01,909.79
4406,01,544.896
2082,01,902.728
1676,01,1084.151
16456,01,556.687
90,01,535.996
828,01,1221.669
6683,01,1156.49
1065,01,1322.171
788,01,1029.307
13870,01,851.627
4169,01,580.946
416,01,1227.988
2240,01,1099.397
1379,01,983.643
35737,01,1349.681
577,01,749.382
43,01,1283.3
808,01,692.87
694,01,921.159
187,01,754.348
639,01,1098.254
2740,01,1255.85
5076,01,1000.171
90,01,759.134
94,01,1230.718
2082,01,576.362
1426,01,979.661
1082,01,1035.358
2696,01,984.188
5927,01,1085.664
2838,01,812.407
12233,01,855.541
12841,01,1337.972
42,01,797.106
763,01,1267.82
4487,01,555.895
7341,01,690.442
3805,01,689.954
1632,01,1041.929
3867,01,712.622
985,01,1348.583
994,01,546.974
90,01,1156.679
1056,01,511.715
1189,01,1284.592
18278,01,1233.287
776,01,1163.677
1541,01,945.617
828,01,751.824
56447,01,726.431
201,01,605.591
286,01,1123.296
3880,01,661.203
140,01,632.98
7341,01,859.46
85,01,689.359
1378,01,630.717
16456,01,679.905
1618,01,842.696
464,01,981.956
305,01,736.265
802,01,699.111
963,01,929.863
914,01,621.145
349,01,862.11
976,01,1006.664
828,01,1342.38
915,01,1274.817
780,01,925.957
42,01,1258.904
6683,01,1209.931
1620,01,999.791
980,01,962.923
43,01,459.473
1362,01,815.606
1308,01,619.032
1504,01,1099.536
90,01,1239.862
363,01,785.288
416,01,1120.457
597,01,1149.698
305,01,1221.568
43,01,520.906
872,01,798.461
187,01,942.817
1682,01,1077.765
914,01,1344.224
2095,01,456.678
1933,01,1351.441
1060,01,542.042
4524,01,1133.996
778,01,463.775
49771,01,1235.898
915,01,967.86
934,01,966.859
1682,01,1318.236
16456,01,756.588
352,01,819.952
2740,01,1256.132
43,01,1217.029
635,01,471.643
348,01,872.778
937,01,982.808
49368,01,1168.504
383,01,1123.344
1991,01,967.785
7341,01,873.006
784,01,964.031
7341,01,1161.567
1306,01,583.612
6109,01,486.818
23419,01,842.851
243,01,1317.045
0,01,602.548
938,01,893.744
7305,01,939.822
231,01,1211.753
349,01,459.345
498,02,943.139
2977,02,696.964
7341,02,903.997
148,02,767.985
42,02,820.871
1297,02,696.241
2122,02,563.13
243,02,1254.89
90,02,921.568
43,02,841.885
1272,02,892.885
1618,02,836.759
141,02,1208.894
259,02,780.001
148,02,1109.542
809,02,1241.872
90,02,1105.27
784,02,1024.912
1201,02,839.304
10103,02,1353.863
241,02,1139.39
1504,02,689.971
7341,02,1156.166
304,02,746.165
852,02,1059.883
892,02,603.53
10103,02,1328.538
665,02,1069.612
4930,02,968.864
788,02,590.907
3867,02,799.615
49871,02,969.949
4733,02,641.259
12079,02,1352.804
472,02,571.127
1827,02,1211.805
114,02,625.145
305,02,1348.483
889,02,715.29
4733,02,1054.66
7483,02,590.021
1035,02,601.019
173,02,1292.076
201,02,1181.518
197,02,1267.636
802,02,614.234
152,02,606.322
2240,02,913.265
184,02,1073.564
305,02,786.278
201,02,1074.263
982,02,1024.981
12402,02,1062.562
963,02,845.63
966,02,1154.068
4930,02,541.403
4385,02,534.331
90,02,1331.591
1838,02,1147.927
90,02,981.505
241,02,1073.442
305,02,543.616
169,02,474.956
985,02,634.82
4406,02,712.505
1272,02,997.169
89,02,932.024
187,02,885.551
413,02,1042.966
2838,02,464.615
138,02,1130.454
945,02,529.831
44502,02,753.415
2513,02,855.692
889,02,1141.907
208,02,764.852
90,02,824.184
4930,02,1287.56
776,02,1341.537
1559,02,657.011
6705,02,1190.128
1272120,02,760.353
994,02,944.362
1378,02,661.675
13343,02,602.065
1362,02,1055.27
994,02,1283.338
313,02,1095.346
169,02,782.936
1812,02,1209.623
789,02,653.69
8386,02,809.815
159,02,895.087
3394,02,1069.453
286,02,471.723
1500,02,616.93
929,02,811.607
164,02,611.894
1306,02,1134.73
1043,02,599.197
3394,02,795.945
90,02,624.77
938,02,587.674
316,02,758.139
852,02,973.683
10103,02,509.022
35737,02,1102.359
1273,02,789.14
169,02,1208.92
348,02,639.058
1217,02,1213.255
10103,02,899.948
1665,02,822.279
298,02,1255.971
7341,02,575.565
201,02,728.563
1500,02,1315.659
243,02,1019.943
3394,02,584.223
994,02,1133.081
1074,02,579.491
3867,02,577.002
82,02,856.613
343,02,1167.087
173,02,461.351
1077,02,1263.766
776,02,1343.058
1272,02,1043.673
2513,02,1084.428
416,02,677.075
1500,02,1007.449
976,02,784.766
4349,02,1243.805
337,02,616.5
152,02,1197.432
416,02,1029.666
2909,02,496.287
1618,02,1299.288
1065,02,1275.16
1431,02,460.116
279,02,647.101
655,02,1081.515
2838,02,483.879
49871,02,698.952
870,02,984.15
785,02,1191.864
35737,02,544.946
694,02,642.074
2020,02,1090.57
169,02,850.07
825,02,679.574
1308,02,811.192
694,02,990.757
184,02,575.353
16456,02,1237.685
488,02,660.413
870,02,1201.828
643,02,579.543
337,02,745.474
1504,02,759.724
207,02,1092.479
305,02,519.448
870,02,1196.633
1297,02,1256.649
1794,02,1163.965
1056,02,497.341
994,02,512.057
2513,02,1323.678
482,02,923.933
428,02,1210.518
949,02,744.224
169,02,487.874
914,02,1229.634
3880,02,977.678
243,02,1349.215
187,02,953.071
348,02,959.522
4624,02,535.429
18278,02,621.164
428,02,661.966
43,02,1060.273
106,02,728.295
5548,02,817.294
1608,02,604.731
938,02,1149.749
14106,02,1014.094
2513,02,797.77
809,02,713.695
283,02,935.626
241,02,489.092
304,02,965.304
363,02,1179.172
90,02,521.68
243,02,1074.884
417,02,701.246
6324,02,838.062
428,02,848.33
482,02,940.245
4930,02,637.512
867,02,1003.191
728,02,1066.736
1005,02,911.37
2740,02,1130.251
388,02,527.836
241,02,1188.732
106,02,550.229
43,02,586.56
173,02,1139.251
90,02,575.492
1273,02,1274.28
776,02,517.749
1602,02,1211.434
1005,02,635.873
374,02,679.83
201,02,653.525
8389,02,1159.526
785,02,797.11
568,02,1099.815
853,02,1353.482
8389,02,515.321
12079,02,478.728
49871,02,563.463
1504,02,909.716
937,02,1284.751
937,02,764.652
1302,02,1242.663
11970,02,1034.829
2572,02,1149.886
934,02,1066.369
937,02,1096.932
914,02,693.614
231,02,973.102
10103,02,1121.864
7362,02,497.247
13754,02,1110.257
808,02,760.765
870,02,673.745
4406,02,811.822
934,02,501.606
984,02,663.75
82,02,852.061
1541,02,1343.914
4809,02,553.104
187,02,1093.86
49871,02,616.235
520,02,596.91
19107,02,858.563
892,02,1191.274
231,02,1268.311
2838,02,1303.047
1191,02,869.59
402,02,980.884
416,02,848.92
2740,02,641.857
1308,02,692.322
169,02,515.761
1426,02,537.003
1297,02,1192.048
872,02,1069.867
828,02,901.793
305,02,545.439
4406,02,1284.05
7362,02,726.202
174,02,726.198
286,02,559.132
2994,02,1071.422
360,02,893.138
694,02,951.813
187,02,889.455
1065,02,905.945
1912,02,651.932
241,02,1217.796
307,02,706.739
286,02,715.119
2838,02,1068.3
374,02,972.372
4930,02,730.752
